VDR Name,Account,Date,Memo,Document Number/ID,Transaction,Type,Total Amount (Transaction Currency)
VDR-0106 Orion Labs,
,Accrued Purchases,5/31/2021,051821FLOW acc. to Adem email,IR-1539,Item Receipt #IR-1539,ItemRcpt,-250.5,
,Accrued Purchases,4/12/2021,040221Cyto,IR-1505,Item Receipt #IR-1505,ItemRcpt,-642.3,
,Accrued Purchases,5/17/2021,050421MOL,IR-1525,Item Receipt #IR-1525,ItemRcpt,-119.07,
,Accrued Purchases,6/8/2021,060121Cyto,IR-1624,Item Receipt #IR-1624,ItemRcpt,-1284.6,
,Accrued Purchases,7/1/2021,PO 062821Flow,1436,Bill #1436,VendBill,-167,
,Accrued Purchases,7/6/2021,PO 061721MOL,1440,Bill #1440,VendBill,-212.5,
,Accrued Purchases,6/16/2021,PO 021221MOL - received on 06/16/2021,1425,Bill #1425,VendBill,-35.8,
,Accrued Purchases,6/30/2021,062821Flow acc. to Adem Hassan email,IR-1701,Item Receipt #IR-1701,ItemRcpt,-135.2,
,Accrued Purchases,8/4/2021,PO 080321Flow,1470,Bill #1470,VendBill,-217.1,
,Accrued Purchases,7/31/2021,061721MOL,IR-1742,Item Receipt #IR-1742,ItemRcpt,-212.5,
,Accrued Purchases,8/6/2021,080321Flow,IR-1806,Item Receipt #IR-1806,ItemRcpt,-217.1,
,Accrued Purchases,10/23/2021,PO 101221MOL,1522,Bill #1522,VendBill,-519.75,
,Accrued Purchases,10/4/2021,PO 093021CYTO,1508,Bill #1508,VendBill,-1284.6,
,Accrued Purchases,10/31/2021,101921MOL per lab,IR-1966,Item Receipt #IR-1966,ItemRcpt,-519.75,
,Accrued Purchases,11/19/2021,PO 111621Flow,1541,Bill #1541,VendBill,-176.4,
,Accrued Purchases,10/1/2021,093021Cyto,IR-1979,Item Receipt #IR-1979,ItemRcpt,-1284.6,
,Accrued Purchases,11/18/2021,111621Flow,IR-2041,Item Receipt #IR-2041,ItemRcpt,-176.4,
,Accrued Purchases,11/30/2021,101221MOL,IR-2072,Item Receipt #IR-2072,ItemRcpt,-519.75,
,Accrued Purchases,1/5/2022,PO 122021MOL,1582,Bill #1582,VendBill,-794.7,
,Accrued Purchases,12/31/2021,122021MOL,IR-2104,Item Receipt #IR-2104,ItemRcpt,-794.7,
,Accrued Purchases,2/16/2022,PO 021122Flow,1618,Bill #1618,VendBill,-203,
,Accrued Purchases,2/28/2022,null,IR-2209,Item Receipt #IR-2209,ItemRcpt,-203,
,Accrued Purchases,3/14/2022,PO 030822Flow,1634,Bill #1634,VendBill,-162.4,
,Accrued Purchases,5/26/2022,PO Flow-0306,1695,Bill #1695,VendBill,-162.4,
,Accrued Purchases,7/14/2022,PO-Cyto-0344,1727,Bill #1727,VendBill,-2569.2,
Total - VDR-0106 Orion Labs ,,,,,,,-35516.92
VDR-0056 Fisher Healthcare,
,Accrued Purchases,8/7/2019,null,IR-0001,Item Receipt #IR-0001,ItemRcpt,-3139,
,Accrued Purchases,8/7/2019,null,null,Bill 8/7/2019,VendBill,-3139,
,Accrued Purchases,3/19/2020,IR-0015 - Track A00788995 - PO 03/18/20AP,5491569,Bill #5491569,VendBill,-997.86,
,Accrued Purchases,3/29/2020,INV 5645755&5898610 - PO 032020CYTO,IR-0012,Item Receipt #IR-0012,ItemRcpt,-2930.07,
,Accrued Purchases,3/9/2020,IR-0063 - Track A00669152 - PO 030620 MOL,4566997,Bill #4566997,VendBill,-539.2,
,Accrued Purchases,3/27/2020,PO 032720 FLOW,6148566,Bill #6148566,VendBill,-71.65,
,Accrued Purchases,3/26/2020,IR-0057 - Track A00807055 - PO 032020Cyto,6028177,Bill #6028177,VendBill,-32.2,
,Accrued Purchases,3/27/2020,PO 032720 FLOW,6148565,Bill #6148565,VendBill,-712.3,
,Accrued Purchases,3/30/2020,IR-0049 -Track A00807061 -PO 032020AP,6303923,Bill #6303923,VendBill,-513.49,
,Accrued Purchases,3/25/2020,IR-0012 - Track A00807055 - PO 032020CYTO,5898610,Bill #5898610,VendBill,-687.35,
,Accrued Purchases,4/2/2020,INV 6537666 - PO 031820AP,IR-0044,Item Receipt #IR-0044,ItemRcpt,-193.48,
,Accrued Purchases,3/23/2020,IR-0012 - Track A00807055 - PO 032020CYTO,5645755,Bill #5645755,VendBill,-2657.11,
,Accrued Purchases,3/31/2020,INV 6303923 - PO 032020AP,IR-0069,Item Receipt #IR-0069,ItemRcpt,-477.14,
,Accrued Purchases,3/20/2020,INV 5491569 - PO 03/18/20AP,IR-0015,Item Receipt #IR-0015,ItemRcpt,-919.41,
,Accrued Purchases,4/10/2020,Invoice 7123024- PO NO 040720AP,IR-0079,Item Receipt #IR-0079,ItemRcpt,-440.54,
,Accrued Purchases,4/7/2020,IR-0074 - Track A00807055 - PO 032020Cyto,6939307,Bill #6939307,VendBill,-406.24,
,Accrued Purchases,4/1/2020,032720Flow,IR-0082,Item Receipt #IR-0082,ItemRcpt,-663.6,
,Accrued Purchases,3/26/2020,INV 6028177 - PO 032020Cyto,IR-0057,Item Receipt #IR-0057,ItemRcpt,-30.2,
,Accrued Purchases,3/31/2020,INV 5645755 - PO 032020Cyto,IR-0070,Item Receipt #IR-0070,ItemRcpt,-178.88,
,Accrued Purchases,3/12/2020,INV 4566997 - PO 030620MOL,IR-0063,Item Receipt #IR-0063,ItemRcpt,-451.25,
,Accrued Purchases,4/1/2020,IR-0044 - Track A00788995 - PO 031820AP,6537666,Bill #6537666,VendBill,-231.09,
,Accrued Purchases,4/7/2020,INV 6939307 - PO 032020Cyto,IR-0074,Item Receipt #IR-0074,ItemRcpt,-331,
,Accrued Purchases,4/14/2020,041320MOL,IR-0103,Item Receipt #IR-0103,ItemRcpt,-276.5,
,Accrued Purchases,5/4/2020,IR-0133 - PO 050120FLOW - received from RD on 05/13/2020 - recording on 05/13/2020,8744381,Bill #8744381,VendBill,-140.43,
,Accrued Purchases,5/22/2020,051220MOL - received by mail on 06/01/2020,9540697,Bill #9540697,VendBill,-530.19,
,Accrued Purchases,4/21/2020,IR-0109 + IR-0114 - 042020APMOL - tracking A01117828 - received from scanned on 04/29/2020,7785853,Bill #7785853,VendBill,-439.24,
,Accrued Purchases,4/20/2020,PO 041320MOL - received from scanned on 04/29/2020,7695788,Bill #7695788,VendBill,-126.35,
,Accrued Purchases,4/14/2020,IR-0103 - PO 041320MOL - tracking A01043483 - received from scanned on 04/26/2020,7384024,Bill #7384024,VendBill,-324.09,
,Accrued Purchases,4/9/2020,Po NO 040720AP - IR-0079-Track NO D00987010 - Received from scanned on 04/21/2020,7123024,Bill #7123024,VendBill,-568.95,
,Accrued Purchases,5/13/2020,051220MOL,IR-0134,Item Receipt #IR-0134,ItemRcpt,-451.25,
,Accrued Purchases,5/12/2020,IR-0147 - PO 051220MOL - tracking A01338731 - received from RD on 05/20/2020,9121328,Bill #9121328,VendBill,-539.89,
